(1, 901714, '2016-01-25', 'Credit Card', 1),
(2, 218437, '2016-01-29', 'Credit Card', 2),
(3, 708392, '2016-01-14', 'Cash', 3),
(4, 717470, '2016-01-21', 'Check', 4),
(5, 348879, '2016-01-19', 'Cash', 5),
(6, 65154, '2016-01-11', 'Check', 6),
(7, 574834, '2016-01-26', 'Cash', 7),
(8, 96562, '2016-01-11', 'Check', 8),
(9, 265473, '2016-01-27', 'Check', 9),
(10, 157293, '2016-01-13', 'Credit Card', 10),
(11, 640228, '2016-01-11', 'Cash', 11),
(12, 824258, '2016-01-27', 'Check', 12),
(13, 353658, '2016-01-22', 'Cash', 13),
(14, 964385, '2016-01-18', 'Check', 14),
(15, 51254, '2016-01-28', 'Cash', 15),
(16, 249592, '2016-01-19', 'Check', 16),
(17, 625216, '2016-01-20', 'Check', 17),
(18, 282192, '2016-01-11', 'Cash', 18),
(19, 17739, '2016-01-26', 'Credit Card', 19),
(20, 650430, '2016-01-17', 'Credit Card', 20),
(21, 566343, '2016-01-16', 'Check', 21),
(22, 346074, '2016-01-27', 'Credit Card', 22),
(23, 961867, '2016-01-16', 'Check', 23),
(24, 930945, '2016-01-18', 'Check', 24),
(25, 13090, '2016-01-20', 'Cash', 25),
(26, 829311, '2016-01-16', 'Check', 26),
(27, 596056, '2016-01-21', 'Check', 27),
(28, 684436, '2016-01-20', 'Cash', 28),
(29, 196960, '2016-01-30', 'Check', 29),
(30, 328031, '2016-01-27', 'Check', 30),
(31, 481261, '2016-01-27', 'Check', 31),
(32, 327419, '2016-01-11', 'Cash', 32),
(33, 652211, '2016-01-23', 'Cash', 33),
(34, 789910, '2016-01-25', 'Check', 34),
(35, 898403, '2016-01-11', 'Credit Card', 35),
(36, 804150, '2016-01-10', 'Check', 36),
(37, 593804, '2016-01-11', 'Cash', 37),
(38, 102267, '2016-01-29', 'Cash', 38),
(39, 836903, '2016-01-26', 'Credit Card', 39),
(40, 11814, '2016-01-19', 'Credit Card', 40),
(41, 397610, '2016-01-11', 'Cash', 41),
(42, 386333, '2016-01-21', 'Credit Card', 42),
(43, 785919, '2016-01-13', 'Cash', 43),
(44, 105435, '2016-01-16', 'Check', 44),
(45, 532505, '2016-01-29', 'Check', 45),
(46, 988495, '2016-01-26', 'Check', 46),
(47, 105751, '2016-01-13', 'Cash', 47),
(48, 18264, '2016-01-18', 'Check', 48),
(49, 817261, '2016-01-13', 'Check', 49),
(50, 546164, '2016-01-22', 'Check', 50),
(51, 929127, '2016-01-14', 'Check', 51),
(52, 367857, '2016-01-28', 'Check', 52),
(53, 323798, '2016-01-14', 'Cash', 53),
(54, 865511, '2016-01-23', 'Check', 54),
(55, 564586, '2016-01-13', 'Check', 55),
(56, 360372, '2016-01-15', 'Check', 56),
(57, 492289, '2016-01-29', 'Credit Card', 57),
(58, 530828, '2016-01-10', 'Credit Card', 58),
(59, 967046, '2016-01-15', 'Credit Card', 59),
(60, 515709, '2016-01-30', 'Credit Card', 60),
(61, 272828, '2016-01-23', 'Check', 61),
(62, 50464, '2016-01-10', 'Credit Card', 62),
(63, 883767, '2016-01-20', 'Credit Card', 63),
(64, 434044, '2016-01-20', 'Cash', 64),
(65, 772981, '2016-01-27', 'Check', 65),
(66, 72427, '2016-01-17', 'Check', 66),
(67, 387409, '2016-01-26', 'Check', 67),
(68, 370021, '2016-01-23', 'Cash', 68),
(69, 60372, '2016-01-17', 'Check', 69),
(70, 353580, '2016-01-29', 'Cash', 70),
(71, 81656, '2016-01-13', 'Credit Card', 71),
(72, 864456, '2016-01-21', 'Credit Card', 72),
(73, 984668, '2016-01-19', 'Check', 73),
(74, 740099, '2016-01-22', 'Cash', 74),
(75, 468967, '2016-01-13', 'Cash', 75),
(76, 554703, '2016-01-10', 'Credit Card', 76),
(77, 913804, '2016-01-27', 'Cash', 77),
(78, 73352, '2016-01-19', 'Check', 78),
(79, 814424, '2016-01-18', 'Credit Card', 79),
(80, 724054, '2016-01-26', 'Credit Card', 80),
(81, 915115, '2016-01-16', 'Credit Card', 81),
(82, 514687, '2016-01-22', 'Credit Card', 82),
(83, 924359, '2016-01-20', 'Check', 83),
(84, 517504, '2016-01-10', 'Cash', 84),
(85, 803167, '2016-01-14', 'Cash', 85),
(86, 814763, '2016-01-28', 'Check', 86),
(87, 813476, '2016-01-11', 'Credit Card', 87),
(88, 126000, '2016-01-30', 'Check', 88),
(89, 942490, '2016-01-14', 'Check', 89),
(90, 548013, '2016-01-24', 'Cash', 90),
(91, 969520, '2016-01-17', 'Credit Card', 91),
(92, 833932, '2016-01-13', 'Cash', 92),
(93, 865202, '2016-01-14', 'Cash', 93),
(94, 680560, '2016-01-10', 'Check', 94),
(95, 140211, '2016-01-25', 'Check', 95),
(96, 624993, '2016-01-15', 'Cash', 96),
(97, 310537, '2016-01-20', 'Credit Card', 97),
(98, 760541, '2016-01-26', 'Check', 98),
(99, 933107, '2016-01-15', 'Cash', 99),
(100, 369822, '2016-01-20', 'Check', 100),
(101, 915685, '2016-01-24', 'Credit Card', 101),
(102, 113122, '2016-01-14', 'Cash', 102),
(103, 695359, '2016-01-27', 'Check', 103),
(104, 64857, '2016-01-15', 'Check', 104),
(105, 245039, '2016-01-27', 'Check', 105),
(106, 778722, '2016-01-25', 'Cash', 106),
(107, 766914, '2016-01-30', 'Cash', 107),
(108, 905683, '2016-01-12', 'Cash', 108),
(109, 767919, '2016-01-29', 'Cash', 109),
(110, 381979, '2016-01-23', 'Check', 110),
(111, 407597, '2016-01-12', 'Credit Card', 111),
(112, 539839, '2016-01-14', 'Cash', 112),
(113, 43183, '2016-01-22', 'Check', 113),
(114, 190800, '2016-01-26', 'Credit Card', 114),
(115, 975764, '2016-01-17', 'Check', 115),
(116, 393531, '2016-01-26', 'Credit Card', 116),
(117, 562740, '2016-01-12', 'Check', 117),
(118, 699487, '2016-01-15', 'Credit Card', 118),
(119, 613702, '2016-01-10', 'Credit Card', 119),
